指标名称,涤纶短纤：1.56*38mm半光本白：市场价：中国（日）,涤纶短纤：1.56*38mm水刺型：市场价：江苏（日）,涤纶短纤：4D*51mm低熔点：市场价：华东地区（日）,涤纶短纤：原生中空7D加硅：市场价：华东地区（日）,涤纶短纤：1.56*38mm半光本白：基差：中国（日）,聚酯纤维短纤：产量：中国（周）,聚酯纤维短纤：产量：中国（月）,聚酯纤维短纤：产能利用率：中国（周）,聚酯纤维短纤：产能利用率：中国（月）,聚酯纤维短纤：损失量：中国（月）,聚酯纤维短纤：厂内权益库存可用天数：中国（周）,聚酯纤维短纤：生产企业：物理库存天数：中国（周）,聚酯纤维短纤：表观消费量：中国（月）,聚酯纤维短纤：产销率：中国（日）,聚酯纤维短纤：生产毛利：中国（日）,未梳的聚酯短纤（包括未经其他纺前加工的）：进口数量合计：全球→中国（月）,未梳的聚酯短纤（包括未经其他纺前加工的）：出口数量合计：中国→全球（月）
2013/04/12,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-146,#N/A,#N/A
2013/04/15,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.55,#N/A,#N/A
2013/04/16,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63.85,#N/A,#N/A
2013/04/17,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42.2,#N/A,#N/A
2013/04/18,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,130.5,#N/A,#N/A
2013/04/19,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.25,#N/A,#N/A
2013/04/22,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-26.1,#N/A,#N/A
2013/04/23,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.6,#N/A,#N/A
2013/04/24,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.23,#N/A,#N/A
2013/04/25,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-87.63,#N/A,#N/A
2013/04/26,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15.67,#N/A,#N/A
2013/04/27,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.65,#N/A,#N/A
2013/04/28,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40.65,#N/A,#N/A
2013/04/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64014000
2013/05/02,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,90.6,#N/A,#N/A
2013/05/03,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-28.98,#N/A,#N/A
2013/05/06,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.35,#N/A,#N/A
2013/05/07,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67.23,#N/A,#N/A
2013/05/08,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.83,#N/A,#N/A
2013/05/09,10200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-19.42,#N/A,#N/A
2013/05/10,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-89.35,#N/A,#N/A
2013/05/13,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-49.45,#N/A,#N/A
2013/05/14,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-41.13,#N/A,#N/A
2013/05/15,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-22.75,#N/A,#N/A
2013/05/16,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-61.15,#N/A,#N/A
2013/05/17,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-94.5,#N/A,#N/A
2013/05/20,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-101.05,#N/A,#N/A
2013/05/21,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-157.7,#N/A,#N/A
2013/05/22,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-131.03,#N/A,#N/A
2013/05/23,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-46.05,#N/A,#N/A
2013/05/24,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-71.02,#N/A,#N/A
2013/05/27,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-67.67,#N/A,#N/A
2013/05/28,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-41.02,#N/A,#N/A
2013/05/29,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-70.9,#N/A,#N/A
2013/05/30,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.2,#N/A,#N/A
2013/05/31,10110,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.9,71.3,#N/A,#N/A,#N/A,#N/A,#N/A,-32.25,#N/A,52975000
2013/06/03,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,29.88,#N/A,#N/A
2013/06/04,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.75,#N/A,#N/A
2013/06/05,10080,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-46.35,#N/A,#N/A
2013/06/06,10070,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-47.9,#N/A,#N/A
2013/06/07,10060,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-103.05,#N/A,#N/A
2013/06/08,10040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-134.75,#N/A,#N/A
2013/06/09,10040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-134.75,#N/A,#N/A
2013/06/13,10040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-73.77,#N/A,#N/A
2013/06/14,10040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-95.4,#N/A,#N/A
2013/06/17,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-53.75,#N/A,#N/A
2013/06/18,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-109.03,#N/A,#N/A
2013/06/19,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-77.35,#N/A,#N/A
2013/06/20,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-29.9,#N/A,#N/A
2013/06/21,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-62.45,#N/A,#N/A
2013/06/24,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-32.35,#N/A,#N/A
2013/06/25,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-105.78,#N/A,#N/A
2013/06/26,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-69.15,#N/A,#N/A
2013/06/27,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-80.67,#N/A,#N/A
2013/06/28,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-50.67,#N/A,#N/A
2013/06/30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49460000
2013/07/01,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-82.35,#N/A,#N/A
2013/07/02,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-127.42,#N/A,#N/A
2013/07/03,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-125.75,#N/A,#N/A
2013/07/04,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-112.5,#N/A,#N/A
2013/07/05,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-119.2,#N/A,#N/A
2013/07/08,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-151.03,#N/A,#N/A
2013/07/09,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-217.75,#N/A,#N/A
2013/07/10,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-217.75,#N/A,#N/A
2013/07/11,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-289.48,#N/A,#N/A
2013/07/12,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-182.8,#N/A,#N/A
2013/07/15,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-239.45,#N/A,#N/A
2013/07/16,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-211.13,#N/A,#N/A
2013/07/17,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-241.13,#N/A,#N/A
2013/07/18,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-251.33,#N/A,#N/A
2013/07/19,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-251.15,#N/A,#N/A
2013/07/22,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-182.98,#N/A,#N/A
2013/07/23,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-215.35,#N/A,#N/A
2013/07/24,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-228.48,#N/A,#N/A
2013/07/25,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-263.65,#N/A,#N/A
2013/07/26,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-233.23,#N/A,#N/A
2013/07/29,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-197.5,#N/A,#N/A
2013/07/30,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-243.55,#N/A,#N/A
2013/07/31,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.39,#N/A,#N/A,#N/A,#N/A,#N/A,-262.53,#N/A,65284000
2013/08/01,10150,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-286.1,#N/A,#N/A
2013/08/02,10200,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-243.88,#N/A,#N/A
2013/08/05,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-263.13,#N/A,#N/A
2013/08/06,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-271.78,#N/A,#N/A
2013/08/07,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-214,#N/A,#N/A
2013/08/08,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-257.55,#N/A,#N/A
2013/08/09,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-261.17,#N/A,#N/A
2013/08/12,10230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-291.9,#N/A,#N/A
2013/08/13,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-310.88,#N/A,#N/A
2013/08/14,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-255.88,#N/A,#N/A
2013/08/15,10320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-241.92,#N/A,#N/A
2013/08/16,10320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-235.23,#N/A,#N/A
2013/08/19,10320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-202.42,#N/A,#N/A
2013/08/20,10320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-104.73,#N/A,#N/A
2013/08/21,10320,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-65.38,#N/A,#N/A
2013/08/22,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-102.5,#N/A,#N/A
2013/08/23,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-129.05,#N/A,#N/A
2013/08/26,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-179.85,#N/A,#N/A
2013/08/27,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-191.85,#N/A,#N/A
2013/08/28,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-215.4,#N/A,#N/A
2013/08/29,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-190.85,#N/A,#N/A
2013/08/30,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-177.17,#N/A,#N/A
2013/08/31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.73,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58163000
2013/09/02,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-190.3,#N/A,#N/A
2013/09/03,10310,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-150.1,#N/A,#N/A
2013/09/04,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-121.35,#N/A,#N/A
2013/09/05,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-122.73,#N/A,#N/A
2013/09/06,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-121.7,#N/A,#N/A
2013/09/09,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-189.5,#N/A,#N/A
2013/09/10,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-167.42,#N/A,#N/A
2013/09/11,10300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-151.05,#N/A,#N/A
2013/09/12,10290,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-157.67,#N/A,#N/A
2013/09/13,10280,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-157,#N/A,#N/A
2013/09/16,10240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-114.17,#N/A,#N/A
2013/09/17,10180,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-118.25,#N/A,#N/A
2013/09/18,10180,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-133.6,#N/A,#N/A
2013/09/20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013/09/22,10130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-210.4,#N/A,#N/A
2013/09/23,10130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-231,#N/A,#N/A
2013/09/24,10130,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-227.6,#N/A,#N/A
2013/09/25,10100,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-230.95,#N/A,#N/A
2013/09/26,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-260.28,#N/A,#N/A
2013/09/27,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-309.3,#N/A,#N/A
2013/09/28,10050,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013/09/29,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-344.35,#N/A,#N/A
2013/09/30,9975,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.4,#N/A,#N/A,#N/A,#N/A,#N/A,-341.03,#N/A,63532000
2013/10/04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2013/10/08,10000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-330.98,#N/A,#N/A
2013/10/09,9960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-309.63,#N/A,#N/A
2013/10/10,9960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-294.98,#N/A,#N/A
2013/10/11,9960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-323.33,#N/A,#N/A
2013/10/12,9960,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-304.35,#N/A,#N/A
2013/10/14,9950,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-298.78,#N/A,#N/A
2013/10/15,9925,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-337.17,#N/A,#N/A
2013/10/16,9925,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-367.33,#N/A,#N/A
2013/10/17,9880,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-335.67,#N/A,#N/A
2013/10/18,9880,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-349.95,#N/A,#N/A
2013/10/21,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-302.25,#N/A,#N/A
2013/10/22,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-257.17,#N/A,#N/A
2013/10/23,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-212.1,#N/A,#N/A
2013/10/24,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-230.38,#N/A,#N/A
2013/10/25,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-247,#N/A,#N/A
2013/10/28,9840,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-191.17,#N/A,#N/A
2013/10/29,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-164.38,#N/A,#N/A
2013/10/30,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-159.93,#N/A,#N/A
2013/10/31,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,-101.88,#N/A,69246000
2013/11/01,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-132.3,#N/A,#N/A
2013/11/04,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-143.63,#N/A,#N/A
2013/11/05,9750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-141.95,#N/A,#N/A
2013/11/06,9750,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-133.58,#N/A,#N/A
2013/11/07,9800,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-121.98,#N/A,#N/A
